id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count
2608411,Дорожно-транспортные происшествия,Столкновение,Республика Карелия,32.609568,62.291718,2021-08-09 13:00:00,Светлое время суток,Ясно,Сухое,5,Все участники,Легкий,0,1
1789502,Дорожно-транспортные происшествия,Столкновение,Тюменская область,65.0,56.0,2016-03-02 12:30:00,Светлое время суток,Ясно,Сухое,3,Все участники,Легкий,0,1
2503093,Дорожно-транспортные происшествия,Столкновение,Самарская область,49.273137,53.515438,2020-10-06 19:30:00,"В темное время суток, освещение включено",Ясно,Сухое,3,Все участники,Легкий,0,1
2786011,Дорожно-транспортные происшествия,Столкновение,Воронежская область,39.307859,51.490001,2022-12-21 07:40:00,Сумерки,Ясно,"Сухое, Недостатки зимнего содержания",2,Все участники,С погибшими,1,0
1686289,Дорожно-транспортные происшествия,Опрокидывание,Ханты-Мансийский автономный округ - Югра,,,2015-07-20 14:00:00,Светлое время суток,Дождь,Мокрое,1,Все участники,Легкий,0,1
2842898,Дорожно-транспортные происшествия,Наезд на животное,Тульская область,37.999198,54.024007,2023-06-02 23:30:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие дорожных знаков в необходимых местах",2,Все участники,Тяжёлый,0,2
1992597,Дорожно-транспортные происшествия,Наезд на пешехода,Нижегородская область,43.9611,56.3313,2017-10-11 13:15:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Все участники",Легкий,0,1
2574526,Дорожно-транспортные происшествия,Наезд на велосипедиста,Республика Крым,34.155711,44.484007,2021-05-23 15:00:00,Светлое время суток,Ясно,Сухое,3,"Велосипедисты, Все участники",Тяжёлый,0,2
2756732,Дорожно-транспортные происшествия,Столкновение,Липецкая область,39.490442,52.61613,2022-09-09 19:40:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,2,Все участники,Легкий,0,1
2783055,Дорожно-транспортные происшествия,Съезд с дороги,Алтайский край,84.085064,53.543495,2022-11-12 16:00:00,Сумерки,Снегопад,Заснеженное,2,Все участники,Легкий,0,1
1873550,Дорожно-транспортные происшествия,Столкновение,Ярославская область,39.29,57.042778,2015-04-23 22:10:00,"В темное время суток, освещение отсутствует",Дождь,Мокрое,4,Все участники,Тяжёлый,0,3
2693349,Дорожно-транспортные происшествия,Съезд с дороги,Кировская область,48.574419,57.458549,2022-06-13 04:35:00,Светлое время суток,Ясно,Сухое,1,Все участники,Тяжёлый,0,1
