id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
1995234,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Нижегородская область,43.8563,56.353,2017-08-03 18:00:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Дети, Все участники",Легкий,0,1,2017,8,3,18
2624856,Дорожно-транспортные происшествия,Столкновение,Еврейская автономная область,132.901418,48.774943,2021-09-19 07:10:00,Светлое время суток,Ясно,Сухое,3,Все участники,Легкий,0,1,2021,9,19,7
1906021,Дорожно-транспортные происшествия,Столкновение,Санкт-Петербург,29.9672,60.0881,2016-02-08 18:30:00,"В темное время суток, освещение включено",Пасмурно,"Мокрое, Отсутствие пешеходных ограждений в необходимых местах",3,Все участники,Тяжёлый,0,1,2016,2,8,18
1738496,Дорожно-транспортные происшествия,Столкновение,Пензенская область,44.784167,53.207778,2015-09-18 14:35:00,Светлое время суток,Ясно,Сухое,2,Все участники,Тяжёлый,0,1,2015,9,18,14
1855723,Дорожно-транспортные происшествия,Наезд на пешехода,Республика Татарстан (Татарстан),52.2415,55.4312,2015-10-03 11:30:00,Светлое время суток,Пасмурно,Мокрое,2,"Пешеходы, Все участники",Легкий,0,1,2015,10,3,11
1803834,Дорожно-транспортные происшествия,Наезд на пешехода,Кабардино-Балкарская Республика,43.54811,43.500379,2020-03-19 22:10:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Легкий,0,1,2020,3,19,22
1874463,Дорожно-транспортные происшествия,Падение пассажира,Ярославская область,39.8403,57.6265,2016-08-31 07:55:00,Светлое время суток,Пасмурно,Сухое,2,"Общ. транспорт, Все участники",Легкий,0,1,2016,8,31,7
1911155,Дорожно-транспортные происшествия,Падение пассажира,Санкт-Петербург,30.470828,59.919215,2018-10-24 12:15:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2018,10,24,12
1596198,Дорожно-транспортные происшествия,Наезд на пешехода,Воронежская область,39.34157,50.11924,2017-10-16 15:10:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Легкий,0,1,2017,10,16,15
2225060,Дорожно-транспортные происшествия,Столкновение,Республика Мордовия,45.198569,54.213271,2019-04-29 12:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Легкий,0,1,2019,4,29,12
