accident_id,vehicle_id,category,brand,model,manufacture_year
2012335,2012335_1,"В-класс (малый) до 3,9 м",ВАЗ,"ВАЗ 2110, 21101, 21102, 21103, 21108",2002
2012335,2012335_2,Велосипеды,,,2011
1989440,1989440_1,"В-класс (малый) до 3,9 м",,,
2001746,2001746_1,"В-класс (малый) до 3,9 м",ВАЗ,"ВАЗ 2110, 21101, 21102, 21103, 21108",1998
2001746,2001746_2,Велосипеды,,,
2889689,2889689_1,"В-класс (малый) до 3,9 м",ВАЗ,ВАЗ 2114 и модификации,2006
2889689,2889689_2,Мотоциклы,Прочие марки мотоциклов,Прочие марки мотоциклов,2014
1989082,1989082_1,Рефрижераторы,HYUNDAI,Porter,2008
1989082,1989082_2,Седельные тягачи,MAN,Прочие модели Man,2010
1995001,1995001_1,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2105 модификации,2005
2017538,2017538_1,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,
2007099,2007099_1,"В-класс (малый) до 3,9 м",CITROEN,C8,2002
1990947,1990947_1,Прочие легковые автомобили,ВАЗ,Прочие модели ВАЗ,2015
1990947,1990947_2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,Priora,2010
2013985,2013985_1,"А-класс (особо малый) до 3,5 м",ВАЗ,"ВАЗ 2111, 21110 (универсал), 21113, 21114",1998
2013985,2013985_2,Бортовые,ГАЗ,Прочие модели ГАЗ,2013
2001089,2001089_1,"В-класс (малый) до 3,9 м",RENAULT,Sandero,2017
2001089,2001089_2,"В-класс (малый) до 3,9 м",FORD,Focus,2004
2719108,2719108_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,ВАЗ 2114 и модификации,2005
2760194,2760194_1,Мотоциклы,HONDA,CBR,2001
2455998,2455998_1,"В-класс (малый) до 3,9 м",ВАЗ,"ВАЗ 2111, 21110 (универсал), 21113, 21114",2006
2668003,2668003_1,Седельные тягачи,КАМАЗ,Прочие модели КАМАЗ,2018
2668003,2668003_2,Седельные тягачи,MAN,19,2007
2668003,2668003_3,Бортовые грузовые автомобили,ГАЗ,Прочие модели ГАЗ,2008
2909469,2909469_1,Бортовые грузовые автомобили,ГАЗ,Next,2020
2450858,2450858_1,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Golf,2013
2453055,2453055_1,"В-класс (малый) до 3,9 м",SKODA,Octavia,2013
2452961,2452961_1,Минивэны и универсалы повышенной вместимости,AUDI,А4,2008
2452961,2452961_2,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2004
2456015,2456015_1,"В-класс (малый) до 3,9 м",HYUNDAI,Solaris,2012
2456015,2456015_2,Велосипеды,,,
2033387,2033387_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ, Нива  ВАЗ-2121 и модификации,1997
2033387,2033387_2,Велосипеды,,,
2029059,2029059_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ, Жигули  ВАЗ-2104 модификации,2006
2029059,2029059_2,"С-класс (малый средний, компактный) до 4,3 м",HONDA,Legend,1993
2033404,2033404_1,Минивэны и универсалы повышенной вместимости,УАЗ,"УАЗ 3151, 31512, 31514, 31519 и модификации",2010
2624442,2624442_1,"В-класс (малый) до 3,9 м",PEUGEOT,206,2007
2624442,2624442_2,"С-класс (малый средний, компактный) до 4,3 м",CHEVROLET,Прочие модели Chevrolet,2012
2027568,2027568_1,Велосипеды,,,
2027568,2027568_2,Минивэны и универсалы повышенной вместимости,CHEVROLET,Niva,2013
2779955,2779955_1,"С-класс (малый средний, компактный) до 4,3 м",NISSAN,Almera,2017
2696087,2696087_1,"С-класс (малый средний, компактный) до 4,3 м",MAZDA,Mazda 3,2007
2696087,2696087_2,"С-класс (малый средний, компактный) до 4,3 м",KIA,Shuma,2003
2755112,2755112_1,"С-класс (малый средний, компактный) до 4,3 м",CHERY,Tiggo,2022
2823041,2823041_1,Одноэтажные длиной от 5 до 8 м,ГАЗ,Next,2016
2031139,2031139_1,"В-класс (малый) до 3,9 м",TOYOTA,Auris,2008
2485203,2485203_1,"С-класс (малый средний, компактный) до 4,3 м",KIA,Cerato,2013
